Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Automation Test Key),Custom field (Branch),Custom field (Build Version),Custom field (Component/s),Custom field (Defects),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Fix Version/s),Custom field (Flagged),Custom field (HH Options),Custom field (Location),Custom field (Original story points),Custom field (Parent Link),Custom field (Preconditions),Custom field (QA person),Custom field (Rank),Custom field (Requirement),Sprint,Custom field (Steps),Custom field (Steps Progress),Custom field (Story Points),Custom field (TC Group),Custom field (TC Group Name),Custom field (TC Status),Custom field (TC Template),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Plan Iteration),Custom field (Version 1.0),Custom field (Version app),Custom field (Work Price),Comment
"Перевірити, що після Undo лічильник записів у списку оновлюється коректно",TESPG177-653,190333,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:42 PM,11/Apr/26 1:25 AM,12/Sep/26 10:11 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
 # Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
 # Додати кілька елементів до списку
 # Запам’ятати значення лічильника записів
 # Відкрити меню “Edit”
 # Обрати команду “Undo”
 # Перевірити значення лічильника записів

*Expected Result:*
Не вказано",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:42 PM;b.kotkov_g177;2026-04-10 22-42-09.mp4;https://bt.qacloud.cc/secure/attachment/117937/2026-04-10+22-42-09.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gel9:",,,,,,,,,,,,,,,,,
"Перевірити, що Undo скасовує тільки останню дію, а не всі попередні одразу",TESPG177-652,190332,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:39 PM,11/Apr/26 1:25 AM,12/Sep/26 10:06 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Обрано режим роботи
# Список порожній

*Steps to Reproduce:*
# Додати перший елемент до списку
# Додати другий елемент до списку
# Відкрити меню “Edit”
# Обрати команду “Undo”
# Перевірити список

*Expected Result:*
Скасовується лише остання дія. Другий елемент видаляється, перший залишається у списку. ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:38 PM;b.kotkov_g177;2026-04-10 22-38-26.mp4;https://bt.qacloud.cc/secure/attachment/117936/2026-04-10+22-38-26.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gel1:",,,,,,,,,,,,,,,,,
Перевірити скасування останньої дії після додавання одного елемента в список через Undo в меню Edit,TESPG177-651,190331,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:33 PM,14/Apr/26 11:13 PM,09/Sep/26 12:52 PM,14/Apr/26 11:13 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Обрано режим роботи
# Список порожній

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути “Add to List” або Enter
# Відкрити меню “Edit”
# Обрати команду “Undo”
# Перевірити список

*Expected Result:*
Остання дія (додавання елемента) скасовується. Список повертається до попереднього стану (елемент відсутній). 

 ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:32 PM;b.kotkov_g177;2026-04-10 22-32-23.mp4;https://bt.qacloud.cc/secure/attachment/117935/2026-04-10+22-32-23.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gekt:",,,,,,,,,,,,,,,,,
Перевірити наявність команди Undo в меню Edit,TESPG177-650,190330,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:25 PM,11/Apr/26 1:25 AM,12/Sep/26 10:11 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Відкрити меню “Edit”
# Перевірити наявність команди “Undo”

*Expected Result:*
У меню “Edit” присутня команда “Undo”.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:25 PM;b.kotkov_g177;зображення_2026-04-10_222549899.png;https://bt.qacloud.cc/secure/attachment/117934/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_222549899.png",,,,,,,,,,,,,,,,,,,,"1|i0gekl:",,,,,,,,,,,,,,,,,
Перевірити багаторазове натискання Clear List,TESPG177-649,190329,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:24 PM,11/Apr/26 1:25 AM,12/Sep/26 10:11 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Натиснути кнопку “Clear List”
# Повторно натиснути кнопку “Clear List” кілька разів
# Перевірити список

*Expected Result:*
Уся введена інформація у списку видаляється. Подальші натискання кнопки “Clear List” не призводять до помилок або аварійного завершення програми.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:24 PM;b.kotkov_g177;2026-04-10 22-23-39.mp4;https://bt.qacloud.cc/secure/attachment/117933/2026-04-10+22-23-39.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gekd:",,,,,,,,,,,,,,,,,
Перевірити натискання Clear List при порожньому списку,TESPG177-635,190315,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 8:11 PM,11/Apr/26 1:25 AM,10/Sep/26 12:29 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Список порожній

*Steps to Reproduce:*
# Переконатися, що список не містить елементів
# Натиснути кнопку “Clear List”

*Expected Result:*
Не вказано",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 8:10 PM;b.kotkov_g177;2026-04-10 19-10-33.mp4;https://bt.qacloud.cc/secure/attachment/117929/2026-04-10+19-10-33.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geh9:",,,,,,,,,,,,,,,,,
"Перевірити, що після очищення списку можна повторно додавати нові елементи",TESPG177-634,190314,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 8:08 PM,11/Apr/26 1:25 AM,12/Sep/26 10:11 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Натиснути кнопку “Clear List”
# Ввести нове значення у поле вводу
# Натиснути “Add to List” або Enter
# Перевірити список

*Expected Result:*
Після очищення списку можна повторно додавати нові елементи до списку. 
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 8:08 PM;b.kotkov_g177;2026-04-10 19-07-59.mp4;https://bt.qacloud.cc/secure/attachment/117928/2026-04-10+19-07-59.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geh1:",,,,,,,,,,,,,,,,,
"Перевірити можливість видалення всієї введеної інформації незалежно від того які чекбокси вибрані у групі ""Symbols""",TESPG177-633,190313,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 8:03 PM,11/Apr/26 1:25 AM,12/Sep/26 10:11 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Обрати checkbox “Alphabetic”, “Numeric” або обидва
# Натиснути кнопку “Clear List”
# Перевірити список

*Expected Result:*
Уся введена інформація у списку видаляється незалежно від обраних checkbox у групі “Symbols”.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 8:03 PM;b.kotkov_g177;2026-04-10 19-02-17.mp4;https://bt.qacloud.cc/secure/attachment/117927/2026-04-10+19-02-17.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gegt:",,,,,,,,,,,,,,,,,
Перевірити можливість видалення всієї введеної інформації незалежно від вибраного сортування,TESPG177-632,190312,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 8:00 PM,11/Apr/26 1:24 AM,12/Sep/26 10:11 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Обрати option button “Ascending” або “Descending”
# Натиснути кнопку “Clear List”
# Перевірити список

*Expected Result:*
Уся введена інформація у списку видаляється незалежно від вибраного сортування. 
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:59 PM;b.kotkov_g177;2026-04-10 18-59-12.mp4;https://bt.qacloud.cc/secure/attachment/117926/2026-04-10+18-59-12.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gegl:",,,,,,,,,,,,,,,,,
Перевірити можливість видалення всієї введеної інформації після додавання кількох елементів,TESPG177-631,190311,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:57 PM,11/Apr/26 1:24 AM,12/Sep/26 10:11 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У списку відсутні елементи

*Steps to Reproduce:*
# Ввести перше значення у поле вводу
# Натиснути “Add to List” або Enter
# Ввести друге значення у поле вводу
# Натиснути “Add to List” або Enter
# Повторити додавання ще кількох елементів
# Натиснути кнопку “Clear List”
# Перевірити список

*Expected Result:*
Уся введена інформація у списку видаляється після натискання кнопки “Clear List”. 
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:56 PM;b.kotkov_g177;2026-04-10 18-56-07.mp4;https://bt.qacloud.cc/secure/attachment/117925/2026-04-10+18-56-07.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gegd:",,,,,,,,,,,,,,,,,
Перевірити можливість видалення всієї введеної інформації після додавання одного елемента,TESPG177-630,190310,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:52 PM,14/Apr/26 11:13 PM,12/Sep/26 10:11 PM,14/Apr/26 11:13 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У списку відсутні елементи

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути “Add to List” або Enter
# Натиснути кнопку “Clear List”
# Перевірити список

*Expected Result:*
Уся введена інформація у списку видаляється після натискання кнопки “Clear List”. 
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:52 PM;b.kotkov_g177;2026-04-10 18-51-44.mp4;https://bt.qacloud.cc/secure/attachment/117924/2026-04-10+18-51-44.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geg5:",,,,,,,,,,,,,,,,,
"Перевірити, що після очищення списку лічильники ""Records in list"", ""Total Records"" оновлюються коректно і виводять коректну кількість записів",TESPG177-629,190309,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:49 PM,11/Apr/26 1:24 AM,12/Sep/26 10:11 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує список із кількома елементами

*Steps to Reproduce:*
# Запам’ятати значення лічильників “Records in list” та “Total Records”
# Натиснути кнопку “Clear List”
# Перевірити значення лічильників

*Expected Result:*
Не вказано
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:49 PM;b.kotkov_g177;2026-04-10 18-48-43.mp4;https://bt.qacloud.cc/secure/attachment/117923/2026-04-10+18-48-43.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gefx:",,,,,,,,,,,,,,,,,
Перевірити видалення всієї введеної інформації через кнопку Clear List,TESPG177-627,190307,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:45 PM,11/Apr/26 1:24 AM,12/Sep/26 10:11 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Натиснути кнопку “Clear List”
# Перевірити список

*Expected Result:*
Уся введена інформація у списку видаляється через кнопку “Clear List”. 
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:45 PM;b.kotkov_g177;2026-04-10 18-45-08.mp4;https://bt.qacloud.cc/secure/attachment/117922/2026-04-10+18-45-08.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gefh:",,,,,,,,,,,,,,,,,
Перевірити багаторазове швидке натискання клавіші Enter,TESPG177-626,190306,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:40 PM,14/Apr/26 11:13 PM,12/Sep/26 10:11 PM,14/Apr/26 11:13 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У полі вводу введено коректне значення відповідно до обраного режиму

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Швидко натискати клавішу Enter кілька разів підряд
# Перевірити список

*Expected Result:*
Не вказано",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:39 PM;b.kotkov_g177;2026-04-10 18-39-26.mp4;https://bt.qacloud.cc/secure/attachment/117921/2026-04-10+18-39-26.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gef9:",,,,,,,,,,,,,,,,,
Перевірити багаторазове швидке натискання кнопки Add to List,TESPG177-625,190305,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:37 PM,14/Apr/26 11:13 PM,10/Sep/26 12:29 PM,14/Apr/26 11:13 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У полі вводу введено коректне значення відповідно до обраного режиму

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Швидко натискати кнопку “Add to List” кілька разів підряд
# Перевірити список

*Expected Result:*
Не вказано",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:36 PM;b.kotkov_g177;2026-04-10 18-35-50.mp4;https://bt.qacloud.cc/secure/attachment/117920/2026-04-10+18-35-50.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gef1:",,,,,,,,,,,,,,,,,
Перевірити поведінку програми при натисканні Enter з порожнім полем вводу,TESPG177-624,190304,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:33 PM,14/Apr/26 11:13 PM,12/Sep/26 10:11 PM,14/Apr/26 11:13 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Поле вводу порожнє

*Steps to Reproduce:*
# Переконатися, що поле вводу не містить значення
# Натиснути клавішу Enter

*Expected Result:*
Не вказано",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:33 PM;b.kotkov_g177;2026-04-10 18-32-38.mp4;https://bt.qacloud.cc/secure/attachment/117919/2026-04-10+18-32-38.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geet:",,,,,,,,,,,,,,,,,
Перевірити поведінку програми при натисканні Add to List з порожнім полем вводу,TESPG177-622,190302,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:28 PM,14/Apr/26 11:13 PM,12/Sep/26 10:11 PM,14/Apr/26 11:13 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Поле вводу порожнє

*Steps to Reproduce:*
# Відкрити додаток List Boxer 1.98
# Переконатися, що поле вводу не містить значення
# Натиснути кнопку “Add to List”

*Expected Result:*
Не вказано",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:31 PM;b.kotkov_g177;2026-04-10 18-30-33.mp4;https://bt.qacloud.cc/secure/attachment/117918/2026-04-10+18-30-33.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geed:",,,,,,,,,,,,,,,,,
"Перевірити, що доданий рядок зберігається у списку після додавання наступного рядка",TESPG177-621,190301,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:23 PM,11/Apr/26 1:24 AM,10/Sep/26 12:29 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Обрано режим роботи
# У полі вводу введено коректне значення

*Steps to Reproduce:*
# Ввести перше значення у поле вводу
# Натиснути “Add to List” або Enter
# Ввести друге значення у поле вводу
# Натиснути “Add to List” або Enter
# Перевірити список

*Expected Result:*
Перший доданий рядок зберігається у списку після додавання наступного рядка, обидва значення присутні у списку.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:23 PM;b.kotkov_g177;2026-04-10 18-23-17.mp4;https://bt.qacloud.cc/secure/attachment/117916/2026-04-10+18-23-17.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gee5:",,,,,,,,,,,,,,,,,
"Перевірити, що після натискання Enter введене значення відображається у списку",TESPG177-620,190300,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:22 PM,11/Apr/26 1:24 AM,12/Sep/26 10:11 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У полі вводу введено коректне значення відповідно до обраного режиму

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути клавішу Enter
# Перевірити список

*Expected Result:*
Після натискання Enter введене значення відображається у списку. 
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:21 PM;b.kotkov_g177;2026-04-10 18-21-25.mp4;https://bt.qacloud.cc/secure/attachment/117915/2026-04-10+18-21-25.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gedx:",,,,,,,,,,,,,,,,,
"Перевірити, що після натискання Add to List введене значення відображається у списку",TESPG177-619,190299,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 7:20 PM,11/Apr/26 1:24 AM,10/Sep/26 12:29 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У полі вводу введено коректне значення відповідно до обраного режиму

*Steps to Reproduce:*

# Ввести значення у поле вводу
# Натиснути кнопку “Add to List”
# Перевірити список

*Expected Result:*
Після натискання “Add to List” введене значення відображається у списку. ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 7:19 PM;b.kotkov_g177;2026-04-10 18-19-34.mp4;https://bt.qacloud.cc/secure/attachment/117914/2026-04-10+18-19-34.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gedp:",,,,,,,,,,,,,,,,,
Перевірити додавання рядка в список натисканням клавіші Enter,TESPG177-616,190296,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:30 PM,11/Apr/26 1:24 AM,12/Aug/26 9:09 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У полі вводу введено коректне значення відповідно до обраного режиму

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути клавішу Enter
# Перевірити список

*Expected Result:*
Рядок додається до списку після натискання клавіші Enter.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 5:30 PM;b.kotkov_g177;2026-04-10 16-29-30.mp4;https://bt.qacloud.cc/secure/attachment/117910/2026-04-10+16-29-30.mp4",,,,,,,,,,,,,,,,,,,,"1|i0ged1:",,,,,,,,,,,,,,,,,
Перевірити додавання рядка в список натисканням кнопки Add to List,TESPG177-615,190295,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:26 PM,11/Apr/26 1:24 AM,12/Sep/26 10:11 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# У полі вводу введено коректне значення відповідно до обраного режиму

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути кнопку “Add to List”
# Перевірити список

*Expected Result:*
Рядок додається до списку після натискання кнопки “Add to List”. 
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 5:25 PM;b.kotkov_g177;2026-04-10 16-25-14.mp4;https://bt.qacloud.cc/secure/attachment/117909/2026-04-10+16-25-14.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gect:",,,,,,,,,,,,,,,,,
"Перевірити, що checkboxes Alphabetic і Numeric розміщені в групі Symbols",TESPG177-613,190293,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:21 PM,11/Apr/26 1:24 AM,12/Aug/26 9:09 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Знайти групу “Symbols”
# Перевірити розташування checkbox “Alphabetic”
# Перевірити розташування checkbox “Numeric”

*Expected Result:*
Checkbox “Alphabetic” і “Numeric” розміщені в групі “Symbols”. ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 5:21 PM;b.kotkov_g177;зображення_2026-04-10_162127591.png;https://bt.qacloud.cc/secure/attachment/117908/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_162127591.png",,,,,,,,,,,,,,,,,,,,"1|i0gecd:",,,,,,,,,,,,,,,,,
"Перевірити що checkboxes ""Alphabetic"" і ""Numeric"" клікабельні(можна поставити або зняти галочку)",TESPG177-612,190292,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:19 PM,11/Apr/26 1:24 AM,12/Sep/26 10:10 PM,11/Apr/26 1:24 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Знайти checkbox “Alphabetic” у групі “Symbols”
# Натиснути на checkbox “Alphabetic” (поставити галочку)
# Натиснути ще раз (зняти галочку)
# Повторити ті ж дії для checkbox “Numeric”

*Expected Result:*
Checkbox “Alphabetic” і “Numeric” клікабельні: можна встановити та зняти галочку.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 5:19 PM;b.kotkov_g177;2026-04-10 16-18-49.mp4;https://bt.qacloud.cc/secure/attachment/117907/2026-04-10+16-18-49.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gec5:",,,,,,,,,,,,,,,,,
"Перевірити наявність checkbox ""Numeric"" у групі Symbols",TESPG177-611,190291,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:13 PM,11/Apr/26 1:23 AM,10/Sep/26 12:29 PM,11/Apr/26 1:23 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Знайти групу “Symbols”
# Перевірити наявність checkbox “Numeric”

*Expected Result:*
У групі “Symbols” присутній checkbox “Numeric”",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 5:13 PM;b.kotkov_g177;зображення_2026-04-10_161304569.png;https://bt.qacloud.cc/secure/attachment/117906/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_161304569.png",,,,,,,,,,,,,,,,,,,,"1|i0gebx:",,,,,,,,,,,,,,,,,
"Перевірити наявність checkbox ""Alphabetic"" у групі Symbols",TESPG177-610,190290,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:10 PM,11/Apr/26 1:23 AM,12/Sep/26 10:11 PM,11/Apr/26 1:23 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Знайти групу “Symbols”
# Перевірити наявність checkbox “Alphabetic”

*Expected Result:*
У групі “Symbols” присутній checkbox “Alphabetic”.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 5:10 PM;b.kotkov_g177;зображення_2026-04-10_161038950.png;https://bt.qacloud.cc/secure/attachment/117905/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_161038950.png",,,,,,,,,,,,,,,,,,,,"1|i0gebp:",,,,,,,,,,,,,,,,,
Перевірити наявність групи Symbols,TESPG177-609,190289,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:08 PM,11/Apr/26 1:23 AM,12/Sep/26 10:11 PM,11/Apr/26 1:23 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Переглянути інтерфейс користувача

*Expected Result:*
У інтерфейсі присутня група “Symbols”
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 5:08 PM;b.kotkov_g177;зображення_2026-04-10_160805783.png;https://bt.qacloud.cc/secure/attachment/117904/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_160805783.png",,,,,,,,,,,,,,,,,,,,"1|i0gebh:",,,,,,,,,,,,,,,,,
"Перевірити що option button ""Descending"" у групі Sort Order сортує порядок списку за спаданням",TESPG177-608,190288,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 5:06 PM,14/Apr/26 11:14 PM,12/Sep/26 10:11 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує список із кількома елементами

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Обрати option button “Descending”
# Перевірити порядок елементів у списку

*Expected Result:*
Option button “Descending” сортує список за спаданням.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 4:57 PM;b.kotkov_g177;зображення_2026-04-10_155705031.png;https://bt.qacloud.cc/secure/attachment/117903/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_155705031.png",,,,,,,,,,,,,,,,,,,,"1|i0geb9:",,,,,,,,,,,,,,,,,
